datetime,rainfall,waterlevel
2023-08-12 12:17:29,0.30,10.00
2023-08-12 12:17:30,0.50,10.01
2023-08-12 12:17:31,0.22,10.01
2023-08-12 12:17:32,0.88,10.02
2023-08-12 12:17:33,0.75,10.03
2023-08-12 12:17:34,0.31,10.04
2023-08-12 12:17:35,0.17,10.04
2023-08-12 12:17:36,0.61,10.05
2023-08-12 12:17:37,0.99,10.06
2023-08-12 12:17:38,0.13,10.06
2023-08-12 12:17:39,0.86,10.07
2023-08-12 12:17:40,0.26,10.08
2023-08-12 12:17:41,0.28,10.08
2023-08-12 12:17:42,0.02,10.09
2023-08-12 12:17:43,0.40,10.10
2023-08-12 12:17:44,0.57,10.11
2023-08-12 12:17:45,0.65,10.11
2023-08-12 12:17:46,0.95,10.12
2023-08-12 12:17:47,0.12,10.13
2023-08-12 12:17:48,0.31,10.13
2023-08-12 12:17:49,0.95,10.14
2023-08-12 12:17:50,0.23,10.15
2023-08-12 12:17:51,0.42,10.15
2023-08-12 12:17:52,0.32,10.16
2023-08-12 12:17:53,0.23,10.17
2023-08-12 12:17:54,0.13,10.18
2023-08-12 12:17:55,0.57,10.18
2023-08-12 12:17:56,0.55,10.19
2023-08-12 12:17:57,0.31,10.20
2023-08-12 12:17:58,0.75,10.20
2023-08-12 12:17:59,0.02,10.21
2023-08-12 12:18:00,0.04,10.22
2023-08-12 12:18:01,0.88,10.22
2023-08-12 12:18:02,0.45,10.23
2023-08-12 12:18:03,0.99,10.24
2023-08-12 12:18:04,0.95,10.24
2023-08-12 12:18:05,0.98,10.25
2023-08-12 12:18:06,1.00,10.26
2023-08-12 12:18:07,0.48,10.27
2023-08-12 12:18:08,0.91,10.27
2023-08-12 12:18:09,0.70,10.28
2023-08-12 12:18:10,0.28,10.29
2023-08-12 12:18:11,0.95,10.29
2023-08-12 12:18:12,0.85,10.30
2023-08-12 12:18:13,0.82,10.31
2023-08-12 12:18:14,0.65,10.31
2023-08-12 12:18:15,0.65,10.32
2023-08-12 12:18:16,0.90,10.33
2023-08-12 12:18:17,0.38,10.34
2023-08-12 12:18:18,0.73,10.34
2023-08-12 12:18:19,0.63,10.35
2023-08-12 12:18:20,0.77,10.36
2023-08-12 12:18:21,0.85,10.36
2023-08-12 12:18:22,0.01,10.37
2023-08-12 12:18:23,0.53,10.38
2023-08-12 12:18:24,0.50,10.38
2023-08-12 12:18:25,0.81,10.39
2023-08-12 12:18:26,0.58,10.40
2023-08-12 12:18:27,0.71,10.41
2023-08-12 12:18:28,0.68,10.41
2023-08-12 12:18:29,0.68,10.42
2023-08-12 12:18:30,0.18,10.43
2023-08-12 12:18:31,0.76,10.43
2023-08-12 12:18:32,0.08,10.44
2023-08-12 12:18:33,0.27,10.45
2023-08-12 12:18:34,0.90,10.46
2023-08-12 12:18:35,0.47,10.46
2023-08-12 12:18:36,0.96,10.47
2023-08-12 12:18:37,0.14,10.48
2023-08-12 12:18:38,0.86,10.48
2023-08-12 12:18:39,0.86,10.49
2023-08-12 12:18:40,0.20,10.50
2023-08-12 12:18:41,0.78,10.50
2023-08-12 12:18:42,0.76,10.51
2023-08-12 12:18:43,0.06,10.52
2023-08-12 12:18:44,0.70,10.53
2023-08-12 12:18:45,0.98,10.53
2023-08-12 12:18:46,0.64,10.54
2023-08-12 12:18:47,0.28,10.55
2023-08-12 12:18:48,0.27,10.55
2023-08-12 12:18:49,0.67,10.56
2023-08-12 12:18:50,0.59,10.57
2023-08-12 12:18:51,0.75,10.57
2023-08-12 12:18:52,0.23,10.58
2023-08-12 12:18:53,0.35,10.59
2023-08-12 12:18:54,0.46,10.60
2023-08-12 12:18:55,0.64,10.60
2023-08-12 12:18:56,0.15,10.61
2023-08-12 12:18:57,0.97,10.62
2023-08-12 12:18:58,0.71,10.62
2023-08-12 12:18:59,0.92,10.63
2023-08-12 12:19:00,0.27,10.64
2023-08-12 12:19:01,0.81,10.64
2023-08-12 12:19:02,0.58,10.65
2023-08-12 12:19:03,0.68,10.66
2023-08-12 12:19:04,0.60,10.66
2023-08-12 12:19:05,0.40,10.67
2023-08-12 12:19:06,0.76,10.68
2023-08-12 12:19:07,0.11,10.69
2023-08-12 12:19:08,0.27,10.69
2023-08-12 12:19:09,0.88,10.70
2023-08-12 12:19:10,0.82,10.71
2023-08-12 12:19:11,0.03,10.71
2023-08-12 12:19:12,0.19,10.72
2023-08-12 12:19:13,0.14,10.73
2023-08-12 12:19:14,0.34,10.73
2023-08-12 12:19:15,0.32,10.74
2023-08-12 12:19:16,0.10,10.75
2023-08-12 12:19:17,0.91,10.76
2023-08-12 12:19:18,0.66,10.76
2023-08-12 12:19:19,0.25,10.77
2023-08-12 12:19:20,0.38,10.78
2023-08-12 12:19:21,0.64,10.78
2023-08-12 12:19:22,0.65,10.79
2023-08-12 12:19:23,0.61,10.80
2023-08-12 12:19:24,0.67,10.80
2023-08-12 12:19:25,0.87,10.81
2023-08-12 12:19:26,0.65,10.82
2023-08-12 12:19:27,0.83,10.83
2023-08-12 12:19:28,0.09,10.83
2023-08-12 12:19:29,0.31,10.84
2023-08-12 12:19:30,0.26,10.85
2023-08-12 12:19:31,0.34,10.85
2023-08-12 12:19:32,1.00,10.86
2023-08-12 12:19:33,0.65,10.87
2023-08-12 12:19:34,0.83,10.88
2023-08-12 12:19:35,0.57,10.88
2023-08-12 12:19:36,0.85,10.89
2023-08-12 12:19:37,0.18,10.90
2023-08-12 12:19:38,0.14,10.90
2023-08-12 12:19:39,0.13,10.91
2023-08-12 12:19:40,0.44,10.92
2023-08-12 12:19:41,0.58,10.92
2023-08-12 12:19:42,0.57,10.93
2023-08-12 12:19:43,0.46,10.94
2023-08-12 12:19:44,0.88,10.95
2023-08-12 12:19:45,0.74,10.95
2023-08-12 12:19:46,0.02,10.96
2023-08-12 12:19:47,0.73,10.97
2023-08-12 12:19:48,0.78,10.97
2023-08-12 12:19:49,0.40,10.98
2023-08-12 12:19:50,0.72,10.99
2023-08-12 12:19:51,0.52,10.99
2023-08-12 12:19:52,0.63,11.00
2023-08-12 12:19:53,0.48,11.01
2023-08-12 12:19:54,0.12,11.02
2023-08-12 12:19:55,0.12,11.02
2023-08-12 12:19:56,0.39,11.03
2023-08-12 12:19:57,0.24,11.04
2023-08-12 12:19:58,0.33,11.04
2023-08-12 12:19:59,0.63,11.05
2023-08-12 12:20:00,0.64,11.06
2023-08-12 12:20:01,0.89,11.06
2023-08-12 12:20:02,0.36,11.07
2023-08-12 12:20:03,0.67,11.08
2023-08-12 12:20:04,0.66,11.09
2023-08-12 12:20:05,0.70,11.09
2023-08-12 12:20:06,0.03,11.10
2023-08-12 12:20:07,0.57,11.11
2023-08-12 12:20:08,0.23,11.11
2023-08-12 12:20:09,0.16,11.12
2023-08-12 12:20:10,0.22,11.13
2023-08-12 12:20:11,0.52,11.13
2023-08-12 12:20:12,0.38,11.14
2023-08-12 12:20:13,0.91,11.15
2023-08-12 12:20:14,0.96,11.15
2023-08-12 12:20:15,0.70,11.16
2023-08-12 12:20:16,0.22,11.17
2023-08-12 12:20:17,0.37,11.18
2023-08-12 12:20:18,0.43,11.18
2023-08-12 12:20:19,0.88,11.19
2023-08-12 12:20:20,0.85,11.20
2023-08-12 12:20:21,0.13,11.20
2023-08-12 12:20:22,0.27,11.21
2023-08-12 12:20:23,0.39,11.22
2023-08-12 12:20:24,0.48,11.22
2023-08-12 12:20:25,0.47,11.23
2023-08-12 12:20:26,0.57,11.24
2023-08-12 12:20:27,0.46,11.25
2023-08-12 12:20:28,0.81,11.25
2023-08-12 12:20:29,0.59,11.26
2023-08-12 12:20:30,0.90,11.27
2023-08-12 12:20:31,0.50,11.27
2023-08-12 12:20:32,0.48,11.28
2023-08-12 12:20:33,0.82,11.29
2023-08-12 12:20:34,0.28,11.29
2023-08-12 12:20:35,0.90,11.30
2023-08-12 12:20:36,0.89,11.31
2023-08-12 12:20:37,0.40,11.32
2023-08-12 12:20:38,0.60,11.32
2023-08-12 12:20:39,0.43,11.33
2023-08-12 12:20:40,0.20,11.34
2023-08-12 12:20:41,0.26,11.34
2023-08-12 12:20:42,0.43,11.35
2023-08-12 12:20:43,0.22,11.36
2023-08-12 12:20:44,0.95,11.37
2023-08-12 12:20:45,0.89,11.37
2023-08-12 12:20:46,0.36,11.38
2023-08-12 12:20:47,0.31,11.39
2023-08-12 12:20:48,0.62,11.39
2023-08-12 12:20:49,0.61,11.40
2023-08-12 12:20:50,0.56,11.41
2023-08-12 12:20:51,0.65,11.41
2023-08-12 12:20:52,0.61,11.42
2023-08-12 12:20:53,0.42,11.43
2023-08-12 12:20:54,0.86,11.44
2023-08-12 12:20:55,0.94,11.44
2023-08-12 12:20:56,0.18,11.45
2023-08-12 12:20:57,0.90,11.46
2023-08-12 12:20:58,0.91,11.46
2023-08-12 12:20:59,0.74,11.47
2023-08-12 12:21:00,0.44,11.48
2023-08-12 12:21:01,0.95,11.48
2023-08-12 12:21:02,0.53,11.49
2023-08-12 12:21:03,0.80,11.50
2023-08-12 12:21:04,0.86,11.50
2023-08-12 12:21:05,0.35,11.51
2023-08-12 12:21:06,0.05,11.52
2023-08-12 12:21:07,0.72,11.53
2023-08-12 12:21:08,0.06,11.53
2023-08-12 12:21:09,0.52,11.54
2023-08-12 12:21:10,0.64,11.55
2023-08-12 12:21:11,0.09,11.55
2023-08-12 12:21:12,0.48,11.56
2023-08-12 12:21:13,0.95,11.57
2023-08-12 12:21:14,0.49,11.57
2023-08-12 12:21:15,0.59,11.58
2023-08-12 12:21:16,0.32,11.59
2023-08-12 12:21:17,0.65,11.60
2023-08-12 12:21:18,0.23,11.60
2023-08-12 12:21:19,0.10,11.61
2023-08-12 12:21:20,0.33,11.62
2023-08-12 12:21:21,0.05,11.62
2023-08-12 12:21:22,0.31,11.63
2023-08-12 12:21:23,0.53,11.64
2023-08-12 12:21:24,0.71,11.64
2023-08-12 12:21:25,0.01,11.65
2023-08-12 12:21:26,0.26,11.66
2023-08-12 12:21:27,0.90,11.67
2023-08-12 12:21:28,0.15,11.67
2023-08-12 12:21:29,0.10,11.68
2023-08-12 12:21:30,0.68,11.69
2023-08-12 12:21:31,0.74,11.69
2023-08-12 12:21:32,0.09,11.70
2023-08-12 12:21:33,0.91,11.71
2023-08-12 12:21:34,0.49,11.71
2023-08-12 12:21:35,0.55,11.72
2023-08-12 12:21:36,0.60,11.73
2023-08-12 12:21:37,0.08,11.74
2023-08-12 12:21:38,0.21,11.74
2023-08-12 12:21:39,0.82,11.75
2023-08-12 12:21:40,0.63,11.76
2023-08-12 12:21:41,0.76,11.76
2023-08-12 12:21:42,0.65,11.77
2023-08-12 12:21:43,0.13,11.78
2023-08-12 12:21:44,0.67,11.79
2023-08-12 12:21:45,0.56,11.79
2023-08-12 12:21:46,0.37,11.80
2023-08-12 12:21:47,0.95,11.81
2023-08-12 12:21:48,0.30,11.81
2023-08-12 12:21:49,0.49,11.82
2023-08-12 12:21:50,0.59,11.83
2023-08-12 12:21:51,0.22,11.83
2023-08-12 12:21:52,0.70,11.84
2023-08-12 12:21:53,0.24,11.85
2023-08-12 12:21:54,0.86,11.86
2023-08-12 12:21:55,0.32,11.86
2023-08-12 12:21:56,0.70,11.87
2023-08-12 12:21:57,0.43,11.88
2023-08-12 12:21:58,0.47,11.88
2023-08-12 12:21:59,0.09,11.89
2023-08-12 12:22:00,0.33,11.90
2023-08-12 12:22:01,0.95,11.90
2023-08-12 12:22:02,0.61,11.91
2023-08-12 12:22:03,0.65,11.92
2023-08-12 12:22:04,0.65,11.93
2023-08-12 12:22:05,0.76,11.93
2023-08-12 12:22:06,0.20,11.94
2023-08-12 12:22:07,0.15,11.95
2023-08-12 12:22:08,0.86,11.95
2023-08-12 12:22:09,0.78,11.96
2023-08-12 12:22:10,0.64,11.97
2023-08-12 12:22:11,0.90,11.97
2023-08-12 12:22:12,0.08,11.98
2023-08-12 12:22:13,0.19,11.99
2023-08-12 12:22:14,0.92,11.99
2023-08-12 12:22:15,0.36,12.00
2023-08-12 12:22:16,0.18,12.01
2023-08-12 12:22:17,0.99,12.02
2023-08-12 12:22:18,0.64,12.02
2023-08-12 12:22:19,0.79,12.03
2023-08-12 12:22:20,0.40,12.04
2023-08-12 12:22:21,0.69,12.04
2023-08-12 12:22:22,0.67,12.05
2023-08-12 12:22:23,0.61,12.06
2023-08-12 12:22:24,0.35,12.06
2023-08-12 12:22:25,0.58,12.07
2023-08-12 12:22:26,0.36,12.08
2023-08-12 12:22:27,0.17,12.09
2023-08-12 12:22:28,0.84,12.09
2023-08-12 12:22:29,0.95,12.10
2023-08-12 12:22:30,0.71,12.11
2023-08-12 12:22:31,0.30,12.11
2023-08-12 12:22:32,0.62,12.12
2023-08-12 12:22:33,0.15,12.13
2023-08-12 12:22:34,0.33,12.13
2023-08-12 12:22:35,0.47,12.14
2023-08-12 12:22:36,0.64,12.15
2023-08-12 12:22:37,0.45,12.16
2023-08-12 12:22:38,0.95,12.16
2023-08-12 12:22:39,0.32,12.17
2023-08-12 12:22:40,0.68,12.18
2023-08-12 12:22:41,0.45,12.18
2023-08-12 12:22:42,0.34,12.19
2023-08-12 12:22:43,0.27,12.20
2023-08-12 12:22:44,0.79,12.21
2023-08-12 12:22:45,0.98,12.21
2023-08-12 12:22:46,0.24,12.22
2023-08-12 12:22:47,0.30,12.23
2023-08-12 12:22:48,0.79,12.23
2023-08-12 12:22:49,0.51,12.24
2023-08-12 12:22:50,0.03,12.25
2023-08-12 12:22:51,0.18,12.25
2023-08-12 12:22:52,0.05,12.26
2023-08-12 12:22:53,0.44,12.27
2023-08-12 12:22:54,0.71,12.28
2023-08-12 12:22:55,0.25,12.28
2023-08-12 12:22:56,0.05,12.29
2023-08-12 12:22:57,0.64,12.30
2023-08-12 12:22:58,0.34,12.30
2023-08-12 12:22:59,0.91,12.31
2023-08-12 12:23:00,0.05,12.32
2023-08-12 12:23:01,0.81,12.32
2023-08-12 12:23:02,0.31,12.33
2023-08-12 12:23:03,0.28,12.34
2023-08-12 12:23:04,0.90,12.35
2023-08-12 12:23:05,0.26,12.35
2023-08-12 12:23:06,0.08,12.36
2023-08-12 12:23:07,0.58,12.37
2023-08-12 12:23:08,0.07,12.37
2023-08-12 12:23:09,0.44,12.38
2023-08-12 12:23:10,0.59,12.39
2023-08-12 12:23:11,0.21,12.39
2023-08-12 12:23:12,0.96,12.40
2023-08-12 12:23:13,0.47,12.41
2023-08-12 12:23:14,0.77,12.41
2023-08-12 12:23:15,0.71,12.42
2023-08-12 12:23:16,0.32,12.43
2023-08-12 12:23:17,0.28,12.44
2023-08-12 12:23:18,0.88,12.44
2023-08-12 12:23:19,0.16,12.45
2023-08-12 12:23:20,0.14,12.46
2023-08-12 12:23:21,0.82,12.46
2023-08-12 12:23:22,0.38,12.47
2023-08-12 12:23:23,0.95,12.48
2023-08-12 12:23:24,0.18,12.48
2023-08-12 12:23:25,0.92,12.49
2023-08-12 12:23:26,0.29,12.50
2023-08-12 12:23:27,0.96,12.51
2023-08-12 12:23:28,0.72,12.51
2023-08-12 12:23:29,0.74,12.52
2023-08-12 12:23:30,0.67,12.53
2023-08-12 12:23:31,0.63,12.53
2023-08-12 12:23:32,0.79,12.54
2023-08-12 12:23:33,0.30,12.55
2023-08-12 12:23:34,0.20,12.55
2023-08-12 12:23:35,0.46,12.56
2023-08-12 12:23:36,0.98,12.57
2023-08-12 12:23:37,0.85,12.58
2023-08-12 12:23:38,0.66,12.58
2023-08-12 12:23:39,0.37,12.59
2023-08-12 12:23:40,0.64,12.60
2023-08-12 12:23:41,0.65,12.60
2023-08-12 12:23:42,0.31,12.61
2023-08-12 12:23:43,0.66,12.62
2023-08-12 12:23:44,0.77,12.62
2023-08-12 12:23:45,0.06,12.63
2023-08-12 12:23:46,0.76,12.64
2023-08-12 12:23:47,0.59,12.65
2023-08-12 12:23:48,0.46,12.65
2023-08-12 12:23:49,0.61,12.66
2023-08-12 12:23:50,0.75,12.67
2023-08-12 12:23:51,0.25,12.67
2023-08-12 12:23:52,0.08,12.68
2023-08-12 12:23:53,0.10,12.69
2023-08-12 12:23:54,0.81,12.70
2023-08-12 12:23:55,0.16,12.70
2023-08-12 12:23:56,0.79,12.71
2023-08-12 12:23:57,0.52,12.72
2023-08-12 12:23:58,0.26,12.72
2023-08-12 12:23:59,0.17,12.73
2023-08-12 12:24:00,0.34,12.74
2023-08-12 12:24:01,0.62,12.74
2023-08-12 12:24:02,0.02,12.75
2023-08-12 12:24:03,0.23,12.76
2023-08-12 12:24:04,0.51,12.77
2023-08-12 12:24:05,0.82,12.77
2023-08-12 12:24:06,0.67,12.78
2023-08-12 12:24:07,0.34,12.79
2023-08-12 12:24:08,0.24,12.79
2023-08-12 12:24:09,0.24,12.80
