datetime,rainfall,waterlevel
2023-08-12 12:17:29,0.57,10.00
2023-08-12 12:27:29,0.74,10.07
2023-08-12 12:37:29,0.90,10.14
2023-08-12 12:47:29,0.71,10.21
2023-08-12 12:57:29,0.80,10.28
2023-08-12 13:07:29,0.86,10.35
2023-08-12 13:17:29,0.19,10.42
2023-08-12 13:27:29,0.44,10.49
2023-08-12 13:37:29,0.24,10.56
2023-08-12 13:47:29,0.90,10.63
2023-08-12 13:57:29,0.12,10.70
2023-08-12 14:07:29,0.66,10.77
2023-08-12 14:17:29,0.74,10.84
2023-08-12 14:27:29,0.50,10.91
2023-08-12 14:37:29,0.54,10.98
2023-08-12 14:47:29,0.97,11.05
2023-08-12 14:57:29,0.02,11.12
2023-08-12 15:07:29,0.13,11.19
2023-08-12 15:17:29,0.72,11.26
2023-08-12 15:27:29,0.52,11.33
2023-08-12 15:37:29,0.80,11.40
2023-08-12 15:47:29,0.45,11.47
2023-08-12 15:57:29,0.22,11.54
2023-08-12 16:07:29,0.75,11.61
2023-08-12 16:17:29,0.49,11.68
2023-08-12 16:27:29,0.75,11.75
2023-08-12 16:37:29,0.30,11.82
2023-08-12 16:47:29,0.70,11.89
2023-08-12 16:57:29,0.47,11.96
2023-08-12 17:07:29,0.75,12.03
2023-08-12 17:17:29,0.12,12.10
2023-08-12 17:27:29,0.90,12.17
2023-08-12 17:37:29,0.47,12.24
2023-08-12 17:47:29,0.66,12.31
2023-08-12 17:57:29,0.09,12.38
2023-08-12 18:07:29,0.27,12.45
2023-08-12 18:17:29,0.70,12.52
2023-08-12 18:27:29,0.30,12.59
2023-08-12 18:37:29,0.68,12.66
2023-08-12 18:47:29,0.81,12.73
2023-08-12 18:57:29,0.60,12.80
2023-08-12 19:07:29,0.94,12.87
2023-08-12 19:17:29,0.65,12.94
2023-08-12 19:27:29,0.28,13.01
2023-08-12 19:37:29,0.86,13.08
2023-08-12 19:47:29,0.48,13.15
2023-08-12 19:57:29,0.45,13.22
2023-08-12 20:07:29,0.48,13.29
2023-08-12 20:17:29,0.32,13.36
2023-08-12 20:27:29,0.74,13.43
2023-08-12 20:37:29,0.72,13.50
2023-08-12 20:47:29,0.40,13.57
2023-08-12 20:57:29,0.52,13.64
2023-08-12 21:07:29,0.42,13.71
2023-08-12 21:17:29,0.85,13.78
2023-08-12 21:27:29,0.29,13.85
2023-08-12 21:37:29,0.69,13.92
2023-08-12 21:47:29,0.62,13.99
2023-08-12 21:57:29,0.37,14.06
2023-08-12 22:07:29,0.57,14.13
2023-08-12 22:17:29,0.33,14.20
2023-08-12 22:27:29,0.59,14.27
2023-08-12 22:37:29,0.70,14.34
2023-08-12 22:47:29,0.41,14.41
2023-08-12 22:57:29,0.11,14.48
2023-08-12 23:07:29,0.43,14.55
2023-08-12 23:17:29,0.51,14.62
2023-08-12 23:27:29,0.25,14.69
2023-08-12 23:37:29,0.68,14.76
2023-08-12 23:47:29,0.47,14.83
2023-08-12 23:57:29,0.58,14.90
2023-08-13 00:07:29,0.78,14.97
2023-08-13 00:17:29,0.14,15.04
2023-08-13 00:27:29,0.26,15.11
2023-08-13 00:37:29,0.81,15.18
2023-08-13 00:47:29,0.38,15.25
2023-08-13 00:57:29,0.25,15.32
2023-08-13 01:07:29,0.88,15.39
2023-08-13 01:17:29,0.74,15.46
2023-08-13 01:27:29,0.44,15.53
2023-08-13 01:37:29,0.92,15.60
2023-08-13 01:47:29,0.47,15.67
2023-08-13 01:57:29,0.31,15.74
2023-08-13 02:07:29,0.88,15.81
2023-08-13 02:17:29,0.41,15.88
2023-08-13 02:27:29,0.11,15.95
2023-08-13 02:37:29,0.26,16.02
2023-08-13 02:47:29,0.72,16.09
2023-08-13 02:57:29,0.80,16.16
2023-08-13 03:07:29,0.60,16.23
2023-08-13 03:17:29,0.21,16.30
2023-08-13 03:27:29,0.18,16.37
2023-08-13 03:37:29,0.48,16.44
2023-08-13 03:47:29,0.26,16.51
2023-08-13 03:57:29,0.18,16.58
2023-08-13 04:07:29,0.62,16.65
2023-08-13 04:17:29,0.13,16.72
2023-08-13 04:27:29,0.55,16.79
2023-08-13 04:37:29,0.12,16.86
2023-08-13 04:47:29,0.74,16.93
